100,46.3630,208.4790
200,9.2052,0.9614
300,33.2756,9.4348
400,16.0759,6.1157
500,10.9655,3.4902
600,25.3977,144.2944
700,10.4457,9.8547
800,23.3161,128.9671
900,16.7356,8.0084
1000,14.7476,6.1758
1100,14.5379,4.6900
1200,81.9081,480.7857
1300,19.0282,6.7716
1400,129.2546,862.4543
1500,27.8662,14.4412
1600,17.1366,8.7145
1700,21.1500,4.3056
1800,10.1980,2.8027
1900,93.1969,524.6918
2000,111.2136,948.3711
2100,62.0958,311.1767
2200,12.4050,2.7709
2300,77.4878,442.1542
2400,18.2492,4.1032
2500,44.8197,284.1392
2600,30.5373,7.4728
2700,15.9162,5.1764
2800,22.6417,12.0663
2900,24.7958,12.3325
3000,19.6067,13.7311
3100,79.2338,550.3942
3200,18.7204,8.8932
3300,18.4863,7.6831
3400,162.1129,1262.0582
3500,16.6512,10.8016
3600,32.4866,214.2207
3700,17.8646,8.4867
3800,28.9418,160.9474
3900,76.0284,573.3308
4000,37.8367,301.0335
4100,31.4981,198.6003
4200,11.8690,1.6878
4300,47.3184,350.5351
4400,73.3656,354.5927
4500,14.4346,1.6047
4600,44.3483,215.4126
4700,33.9592,199.7070
4800,89.7747,591.2663
4900,51.7207,268.7179
5000,111.5380,916.1910
5100,15.6898,6.1599
5200,11.0504,3.8113
5300,21.3660,84.8814
5400,11.1252,2.7868
5500,65.7713,418.7654
5600,13.8446,9.8434
5700,30.1649,163.0785
5800,14.2451,4.4188
5900,89.3440,443.2639
6000,14.0321,2.3991
6100,19.9798,8.6820
6200,19.7962,15.4834
6300,16.9481,13.4391
6400,16.8302,6.0765
6500,114.7023,650.6133
6600,14.9531,8.1547
6700,56.0808,380.9744
6800,7.6183,2.6724
6900,13.2142,0.6311
7000,22.8401,116.8242
7100,58.1464,359.8455
7200,28.0440,190.4527
7300,10.6673,4.8922
7400,94.7924,734.6237
7500,31.3428,9.8193
7600,29.7888,144.2160
7700,37.5871,145.8115
7800,77.6388,458.0185
7900,17.6100,10.8252
8000,13.3450,8.8619
8100,35.0856,175.3988
8200,65.0162,529.7548
8300,10.9860,2.2625
8400,69.0650,394.6999
8500,46.4390,296.5132
8600,35.1801,202.5132
8700,35.9559,210.6839
8800,45.5507,285.7873
8900,14.8098,4.6625
9000,16.3174,7.8105
9100,52.4049,381.8426
9200,46.8273,319.1671
9300,12.9527,2.4746
9400,52.7963,294.2235
9500,17.1444,5.0566
9600,11.5496,0.8384
9700,33.1813,187.7556
9800,20.6728,14.5592
9900,62.9208,429.1768
